Street Address,City,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,Latitude,Longitude,ID,EV Connector Types,Facility Type
11797 Truesdale St,Sun Valley,91352,Private,Fleet use only,,39,3,,34.2483191527193,-118.3879713743439,1517,CHADEMO J1772 J1772COMBO,UTILITY
1394 S Sepulveda Blvd,Los Angeles,90024,Private,,,4,,,34.052542,-118.448504,1519,J1772,UTILITY
1201 S Figueroa St,Los Angeles,90015,Public,24 hours daily; pay lot,,12,,,34.040539,-118.271387,1523,J1772,PARKING_GARAGE
111 N Hope St,Los Angeles,90012,Private,For fleet and employee use only,,311,2,,34.059133,-118.248589,1525,CHADEMO J1772 J1772COMBO,UTILITY
6801 E 2nd St,Long Beach,90803,Private,Fleet use only,,19,1,,33.759802,-118.096665,1531,CHADEMO J1772 J1772COMBO,UTILITY
161 N Island Ave,Wilmington,90744,Private,Fleet use only,,10,,,33.770508,-118.265628,1552,J1772,UTILITY
1630 N Main St,Los Angeles,90012,Private,Fleet and employee use only,,46,1,,34.066801,-118.227605,1572,CHADEMO J1772,UTILITY
2311 S Fairfax Ave,Los Angeles,90016,Private,Fleet use only,,13,,,34.036777,-118.368841,1573,J1772,UTILITY
9530 Telstar Ave,El Monte,91731,Public,24 hours daily,,3,,,34.06872,-118.064,1583,J1772,STATE_GOV
1212 Palmetto St,Los Angeles,90013,Private,Fleet use only,,10,,,34.039736,-118.236065,1589,J1772,UTILITY
10666 N Torrey Pines Rd,La Jolla,92037,Public,24 hours daily,,1,,,32.89947,-117.243,6355,J1772,HOSPITAL
15421 Roscoe Blvd,Sepulveda,91343,Public - Call ahead,Dealership business hours,,2,,,34.221665,-118.468371,6405,J1772,CAR_DEALER
1299 Galleria at Tyler,Riverside,92503,Public,6am-12am daily,,4,,,33.909914,-117.459053,6425,J1772,SHOPPING_MALL
150 E Holly St,Pasadena,91103,Public,24 hours daily; pay lot,,16,,,34.14762,-118.147111,6505,J1772,PARKING_GARAGE
45 De Lacey Ave,Pasadena,91105,Public,24 hours daily; pay lot,,2,,,34.145138,-118.152655,6506,J1772,PARKING_GARAGE
33 E Green St,Pasadena,91105,Public,24 hours daily; pay lot,,3,,,34.145119,-118.150133,6507,J1772,PARKING_GARAGE
150 S Los Robles,Pasadena,91101,Public,24 hours daily; for guest use only; valet fee,,4,,,34.142973,-118.140553,6508,J1772,HOTEL
200 S Pine Ave,Long Beach,90802,Public,24 hours daily; pay lot; see valet for access,,1,,,33.7637,-118.192,7172,J1772,HOTEL
1 World Way,Los Angeles,90045,Public,24 hours daily; pay lot,,20,,,33.94325,-118.403342,7184,J1772,AIRPORT
9301 Tampa Ave,Northridge,91324,Public,6am-12am daily,,2,,,34.241116,-118.556708,7192,J1772,SHOPPING_MALL
700 N Haven Ave,Ontario,91764,Public,24 hours daily; guest use only,,1,,,34.07122,-117.575,7194,J1772,HOTEL
600 E Esplanade Dr,Oxnard,93030,Public,24 hours daily; guest use only,,1,,,34.228315,-119.170865,7195,J1772,HOTEL
400 E Tahquitz Canyon Way,Palm Springs,92262,Public,24 hours daily; pay lot; priority given to registered guests,,2,,,33.824004,-116.543589,7196,J1772,HOTEL
4340 Rosewood Dr,Pleasanton,94588,Public,Dealership business hours,,2,,,37.700187,-121.876172,7197,J1772,CAR_DEALER
5425 Wilson St,Riverside,92509,Public,8am-4:30pm M-F,,3,,,34.0189,-117.38,7206,J1772,OFFICE_BLDG
Lindbergh Dr,Sacramento,95837,Public,24 hours daily; pay lot,,4,,1 SP Inductive,38.69005,-121.58889,7212,J1772,AIRPORT
3223 Donald Douglas Loop,Santa Monica,90405,Public,24 hours daily,,2,,,34.017081,-118.44704,7229,J1772,AIRPORT
200 Santa Monica Pier,Santa Monica,90405,Public,24 hours daily; pay lot,,3,,,34.010021,-118.49583,7230,J1772,MUNI_GOV
14006 Riverside Dr,Sherman Oaks,91423,Public,6am-12am daily,,4,,,34.156839,-118.434454,7233,J1772,SHOPPING_CENTER
7724 Van Nuys Blvd,Van Nuys,91405,Public,24 hours daily,,4,,,34.21108,-118.448704,7245,J1772,PARKING_LOT
7075 Firestone Blvd,Downey,90241,Public,24 hours daily,,4,,,33.94756,-118.153806,7250,J1772,SHOPPING_CENTER
555 N Point St,San Francisco,94133,Public,24 hours daily; pay lot; see valet for access,,1,,,37.80619,-122.4152,7280,J1772,HOTEL
1689 Arden Way,Sacramento,95815,Public,24 hours daily,,4,,,38.599693,-121.427045,7286,J1772,SHOPPING_MALL
2 New Montgomery St,San Francisco,94105,Public,24 hours daily,,1,,,37.78881,-122.401,21358,J1772,HOTEL
999 California St,San Francisco,94108,Public,24 hours daily; for guest use only; see valet for access,,1,,,37.791791,-122.411265,21360,J1772,HOTEL
8555 Beverly Blvd,Los Angeles,90048,Public,24 hours daily; for guest use only; see valet for access,,2,,,34.076264,-118.377527,21368,J1772,HOTEL
135 N Grand Ave,Los Angeles,90012,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,3,,,34.057657,-118.24789,21374,J1772,PAY_GARAGE
16821 Burbank Blvd,Encino,91436,Public,24 hours daily,,1,,,34.169242,-118.497212,21383,J1772,REC_SPORTS_FACILITY
18111 Nordhoff St,Northridge,91330,Public,24 hours daily; parking permit required,,2,,,34.248959,-118.523887,21395,J1772,COLLEGE_CAMPUS
18111 Nordhoff St,Northridge,91330,Public,24 hours daily; parking permit required,,2,,,34.241687,-118.528543,21396,J1772,COLLEGE_CAMPUS
18111 Nordhoff St,Northridge,91330,Public,24 hours daily; parking permit required,,4,,,34.236853,-118.532588,21397,J1772,COLLEGE_CAMPUS
8775 Wilbur Ave,Northridge,91324,Public,24 hours daily,,4,,,34.229277,-118.544827,21398,J1772,PARKING_LOT
425 S Palos Verdes St,San Pedro,90731,Public,8am-5pm daily,,4,,,33.740758,-118.28192,21402,J1772,PARKING_LOT
Village Way Dr,San Fernando,91342,Public,24 hours daily,,4,,,34.2924134,-118.4497914,21414,J1772,PARKING_LOT
1200 Getty Center Dr,Los Angeles,90049,Public,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,12,16,,,34.077588,-118.474585,21419,J1772 NEMA520,PARKING_GARAGE
301 N Baldwin Ave,Arcadia,91007,Public,24 hours daily,,3,,,34.145528,-118.050548,21450,J1772,MUNI_GOV
114 S Vista Bonita Ave,Glendora,91741,Public,5am-2am daily,,3,,,34.13556,-117.864,21498,J1772,MUNI_GOV
6161 Centinela Ave,Culver City,90230,Public,24 hours daily; guest use only,,2,,,33.9826,-118.3966,21524,J1772,HOTEL
8800 Venice Blvd,Los Angeles,90034,Public,24 hours daily,,6,,,34.029971,-118.385231,21525,J1772,PARKING_GARAGE
2800 N Main St,Santa Ana,92705,Public,Business hours,,6,,,33.777054,-117.870566,21535,J1772,SHOPPING_MALL
1 University Dr,Camarillo,93012,Public,24 hours daily; parking pass required or day pass available for purchase,,5,,,34.16657601660278,-119.0458546627045,21559,J1772,COLLEGE_CAMPUS
101 S Brea Blvd,Brea,92821,Public,Garage business hours; 4 hour parking limit,,4,,,33.919899,-117.898618,21561,J1772,PARKING_GARAGE
2745 Teller Rd,Newbury Park,91320,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,4,2,,,34.192178,-118.934793,21565,J1772 NEMA515,SHOPPING_CENTER
Casitas Pass Rd & Baldwin Rd,Oak View,93022,Public - Call ahead,8am-5pm daily,,1,,,34.418322,-119.3368,21566,J1772,PARK
205 S San Dimas Ave,San Dimas,91773,Public,24 hours daily,,2,,,34.105275,-117.809208,21569,J1772,PARKING_LOT
100 N El Molino Ave,Pasadena,91101,Public,24 hours daily; pay lot,,2,,,34.147709,-118.136621,21594,J1772,PARKING_LOT
800 S Victoria Ave,Ventura,93009,Public,8am-5pm daily,,3,,,34.267352,-119.2124,21606,J1772,MUNI_GOV
669 County Square Dr,Ventura,93003,Public,8am-5pm daily,,3,,,34.268756,-119.2154,21607,J1772,MUNI_GOV
3295 E Main St,Ventura,93003,Public,24 hours daily,,2,,1 SP Inductive,34.268,-119.2492,21608,J1772,SHOPPING_MALL
12700 Vista del Mar,Playa del Rey,90293,Private,Fleet use only,,16,,,33.917593,-118.425334,21609,J1772,UTILITY
1441 Research Park Dr,Davis,95616,Public,24 hours daily,1,3,,,38.539336,-121.732405,21673,J1772 NEMA520,COLLEGE_CAMPUS
3433 Roberto Ct,San Luis Obispo,93401,Private,Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,,35.25939,-120.64492,21713,J1772 NEMA520,MUNI_GOV
601 Front St,Santa Cruz,95061,Public,24 hours daily,,5,,,36.973393,-122.024849,21794,J1772,PARKING_GARAGE
315 N Island Ave,Wilmington,90744,Private,Fleet use only,,8,,,33.773005,-118.265821,25171,J1772,UTILITY
11601 Fair Oaks Blvd,Fair Oaks,95628,Public,24 hours daily,,2,,,38.66292,-121.2634,25491,J1772,PARKING_LOT
2901 K St,Sacramento,95816,Public,24 hours daily; pay lot; visitor and student use only; Drivers must bring their own J1772 cordset for Level 1 charging,1,2,,,38.57277,-121.467902,25494,J1772 NEMA520,COLLEGE_CAMPUS
4235 Antelope Rd,Antelope,95843,Public,24 hours daily,,1,,,38.7042,-121.365,25497,J1772,LIBRARY
2710 Gateway Oaks Dr,Sacramento,95833,Private,Tenant use only,,1,,,38.615468,-121.517263,25500,J1772,OFFICE_BLDG
4860 Y St,Sacramento,95817,Public,24 hours daily,,2,,,38.552483,-121.4487,25501,J1772,HOSPITAL
5600 S Land Park Dr,Sacramento,95822,Public,24 hours daily,,2,,,38.524403,-121.5112,25502,J1772,LIBRARY
Mosquito Rd & Clay St,Placerville,95667,Public,Lot business hours; overnight parking prohibited,,2,,,38.73323,-120.78962,25507,J1772,MUNI_GOV
1000 Ulatis Dr,Vacaville,95687,Public,24 hours daily,,1,,1 SP Inductive,38.356027,-121.9628,25511,J1772,MUNI_GOV
190 Hickory Ln,Vacaville,95688,Public,24 hours daily,,3,,1 SP Inductive,38.35172,-121.987,25515,J1772 TESLA,TRAVEL_CENTER
40 Eldridge Ave,Vacaville,95688,Public,24 hours daily,,1,,1 SP Inductive,38.356907,-122.001886,25516,J1772,OFFICE_BLDG
500 Catherine St,Vacaville,95688,Public,24 hours daily,,1,,1 SP Inductive,38.355867,-121.9862,25517,J1772,PARKING_LOT
650 Merchant St,Vacaville,95688,Public,Primarily government use,,10,,3 SP Inductive,38.351758,-121.994475,25518,J1772,MUNI_GOV
6360 Fountain Square Dr,Citrus Heights,95621,Public,24 hours daily,,4,,1 SP Inductive,38.682605,-121.297614,25519,J1772,MUNI_GOV
2850 Fairlane Ct,Placerville,95667,Public,24 hours daily,,3,,,38.72799,-120.828,25522,J1772,MUNI_GOV
