Street Address,City,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,Latitude,Longitude,ID,EV Connector Types,Facility Type
11797 Truesdale St,Sun Valley,91352,Private,Fleet use only,,39,3,,34.2483191527193,-118.3879713743439,1517,CHADEMO J1772 J1772COMBO,UTILITY
111 N Hope St,Los Angeles,90012,Private,For fleet and employee use only,,311,2,,34.059133,-118.248589,1525,CHADEMO J1772 J1772COMBO,UTILITY
6801 E 2nd St,Long Beach,90803,Private,Fleet use only,,19,1,,33.759802,-118.096665,1531,CHADEMO J1772 J1772COMBO,UTILITY
1630 N Main St,Los Angeles,90012,Private,Fleet and employee use only,,46,1,,34.066801,-118.227605,1572,CHADEMO J1772,UTILITY
333 Civic Center Dr,Santa Monica,90401,Public,24 hours daily; pay lot,,12,2,,34.010528,-118.4898,38521,CHADEMO J1772,MUNI_GOV
1831 Auto Center Dr,Antioch,94509,Public - Call ahead,Dealership business hours,,1,1,,38.007799,-121.832042,39870,CHADEMO J1772 J1772COMBO,CAR_DEALER
2800 Pacheco Rd,Bakersfield,93313,Public - Call ahead,Dealership business hours,,3,1,,35.310723,-119.035324,39871,CHADEMO J1772 J1772COMBO,CAR_DEALER
6501 Auto Center Dr,Buena Park,90621,Public - Call ahead,Dealership business hours,,3,1,,33.865497,-117.995215,39872,CHADEMO J1772 J1772COMBO,CAR_DEALER
1505 E 223rd St,Carson,90745,Public - Call ahead,Dealership business hours,,2,1,,33.824968,-118.245675,39873,CHADEMO J1772 J1772COMBO,CAR_DEALER
68177 Kyle Rd,Cathedral City,92234,Public - Call ahead,Dealership business hours,,1,1,,33.78414,-116.471,39874,CHADEMO J1772,CAR_DEALER
18707 Studebaker Rd,Cerritos,90703,Public - Call ahead,Dealership business hours,,1,1,,33.861544,-118.100471,39875,CHADEMO J1772 J1772COMBO,CAR_DEALER
575 Manzanita Ave,Chico,95926,Public - Call ahead,Dealership business hours,,3,1,,39.756332,-121.843715,39876,CHADEMO J1772 J1772COMBO,CAR_DEALER
17320 E Gale Ave,City of Industry,91748,Public - Call ahead,Dealership business hours,,2,1,,33.997621,-117.928216,39877,CHADEMO J1772 J1772COMBO,CAR_DEALER
